2020-07-08 20:05:35,143 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 7552 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:05:35,151 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:05:38,713 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:05:38,799 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 63ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:05:41,292 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:05:41,329 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:05:41,330 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-07-08 20:05:41,333 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-07-08 20:05:41,334 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-07-08 20:05:41,335 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-07-08 20:05:41,508 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-07-08 20:05:42,168 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-07-08 20:05:42,169 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 6341 ms
2020-07-08 20:05:43,478 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-08 20:05:43,479 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-08 20:05:44,514 [cluster-ClusterId{value='5f05b6975785a902bd034be0', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:4}] to localhost:27017
2020-07-08 20:05:44,545 [cluster-ClusterId{value='5f05b6975785a902bd034be0', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=25697397}
2020-07-08 20:05:44,571 [cluster-ClusterId{value='5f05b6975785a902bd034be0', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 20:05:47,894 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 20:05:50,790 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:05:50,802 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 23.592 seconds (JVM running for 29.975)
2020-07-08 20:08:52,633 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 8088 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:08:52,641 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:08:54,181 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:08:54,222 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 27ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:08:55,237 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:08:55,266 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:08:55,267 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-07-08 20:08:55,271 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-07-08 20:08:55,271 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-07-08 20:08:55,272 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-07-08 20:08:55,281 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-07-08 20:08:55,636 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-07-08 20:08:55,637 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 2883 ms
2020-07-08 20:08:56,449 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-08 20:08:56,451 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-08 20:08:56,556 [cluster-ClusterId{value='5f05b75826a12149c355e6c8', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:10}] to localhost:27017
2020-07-08 20:08:56,568 [cluster-ClusterId{value='5f05b75826a12149c355e6c8', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=5832894}
2020-07-08 20:08:56,571 [cluster-ClusterId{value='5f05b75826a12149c355e6c8', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 20:08:57,438 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 20:08:57,981 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:203 - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-08 20:08:57,992 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:61 - Started PokemonAdminApplication in 6.478 seconds (JVM running for 9.391)
2020-07-08 20:16:55,809 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] StartupInfoLogger.java:55 - Starting PokemonAdminApplication on Yao-PC with PID 8536 (E:\java\study\deep-pokemon\out\production\pokemon-admin started by Yao in E:\java\study\deep-pokemon)
2020-07-08 20:16:55,815 [main] INFO  [c.mimosa.deeppokemon.admin.PokemonAdminApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 20:16:57,211 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 20:16:57,252 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 31ms. Found 0 MongoDB repository interfaces.
2020-07-08 20:16:58,140 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:91 - Tomcat initialized with port(s): 8080 (http)
2020-07-08 20:16:58,161 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-07-08 20:16:58,162 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-07-08 20:16:58,166 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-07-08 20:16:58,167 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
