Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877795 | gen9ou |  Let's Rumble Shall We | Let's Rumble Shall We |  | Separation |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877797 | gen9ou |  Separation | Separation |  | Let's Rumble Shall We |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877798 | gen9ou |  Separation | Separation |  | Let's Rumble Shall We |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877369 | gen9ou |  TDNT | TDNT |  | ima |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877385 | gen9ou |  TDNT | TDNT |  | ima |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877455 | gen9ou |  Vert | Vert |  | MRH1106 |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877461 | gen9ou |  Vert | Vert |  | MRH1106 |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877527 | gen9ou |  Alhen | Alhen |  | Giannis Antetokommo-o |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877551 | gen9ou |  Giannis Antetokommo-o | Giannis Antetokommo-o |  | Alhen |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877566 | gen9ou |  Alhen | Alhen |  | Giannis Antetokommo-o |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877681 | gen9ou |  Ewin | Ewin |  | Tace |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877694 | gen9ou |  Ewin | Ewin |  | Tace |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877696 | gen9ou |  Storm Zone | Storm Zone |  | xavgb |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877705 | gen9ou |  Storm Zone | Storm Zone |  | xavgb |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877923 | gen9ou |  Typhlosion48 | Typhlosion48 |  | hellom |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877925 | gen9ou |  hellom | hellom |  | Typhlosion48 |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877931 | gen9ou |  Typhlosion48 | Typhlosion48 |  | hellom |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877733 | gen9ou |  clean | clean |  | Fusien |
Smogon's Official Ladder Tournament XII | Top 16 | smogtours-gen9ou-877739 | gen9ou |  clean | clean |  | Fusien |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879782 | gen9ou |  Separation | Separation |  | Typhlosion48 |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879784 | gen9ou |  Separation | Separation |  | Typhlosion48 |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879162 | gen9ou |  TDNT | TDNT |  | Vert |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879173 | gen9ou |  Vert | Vert |  | TDNT |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879187 | gen9ou |  Vert | Vert |  | TDNT |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879680 | gen9ou |  Ewin | Ewin |  | clean |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879694 | gen9ou |  clean | clean |  | Ewin |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879700 | gen9ou |  Ewin | Ewin |  | clean |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879361 | gen9ou |  Alhen | Alhen |  | Storm Zone |
Smogon's Official Ladder Tournament XII | Quarterfinals| smogtours-gen9ou-879379 | gen9ou |  Alhen | Alhen |  | Storm Zone |
Smogon's Official Ladder Tournament XII | Semifinals| smogtours-gen9ou-881126 | gen9ou |  Separation | Separation |  | Alhen |
Smogon's Official Ladder Tournament XII | Semifinals| smogtours-gen9ou-881152 | gen9ou |  Separation | Separation |  | Alhen |
Smogon's Official Ladder Tournament XII | Semifinals| smogtours-gen9ou-881547 | gen9ou |  Vert | Vert |  | Ewin |
Smogon's Official Ladder Tournament XII | Semifinals| smogtours-gen9ou-881567 | gen9ou |  Ewin | Ewin |  | Vert |
Smogon's Official Ladder Tournament XII | Semifinals| smogtours-gen9ou-881582 | gen9ou |  Ewin | Ewin |  | Vert |
Smogon's Official Ladder Tournament XII | Finals|
