OUPL VIII | Week 5 | smogtours-gen9ou-807975 | gen9ou | Sylveon used calm mind | Sylveon used calm mind | HH | Roller K| BB
OUPL VIII | Week 5 | smogtours-gen9ou-808097 | gen9ou | Fc | Fc | IDG | yovan33321| PP
OUPL VIII | Week 5 | smogtours-gen9ou-808249 | gen9ou | Lily | Lily | CCS | HYpertonix| RL
OUPL VIII | Week 5 | smogtours-gen9ou-808323 | gen9ou | Hacker | Hacker | PP | Mada| IDG
OUPL VIII | Week 5 | smogtours-gen9ou-808362 | gen9ou | clean | clean | BB | Ewin| HH
OUPL VIII | Week 5 | smogtours-gen9ou-808484 | gen9ou | Srn | Srn | BB | heileone| HH
OUPL VIII | Week 5 | smogtours-gen9ou-808520 | gen9ou | Fusien | Fusien | BB | COALLA| HH
OUPL VIII | Week 5 | smogtours-gen9ou-808531 | gen9ou | JJ09LIE | JJ09LIE | IDG | DugZa| PP
OUPL VIII | Week 5 | smogtours-gen9ou-808561 | gen9ou | Alhen | Alhen | IDG | dunoks| PP
OUPL VIII | Week 5 | smogtours-gen9ou-808564 | gen9ou | LpZ | LpZ | RL | MAVERICK SHOOTERS | CCS
OUPL VIII | Week 5 | smogtours-gen9ou-808693 | gen9ou | Stareal | Stareal | CPC | Danny | CTC
OUPL VIII | Week 5 | smogtours-gen9ou-808737 | gen9ou | Mister McLovin | Mister McLovin | CPC | 3d | CTC
OUPL VIII | Week 5 | smogtours-gen9ou-808739 | gen9ou | Hiko | Hiko | CCS | SupaGmoney | RL
OUPL VIII | Week 5 | smogtours-gen9ou-808808 | gen9ou | Laroxyl | Laroxyl | RL | Luirromen | CCS
OUPL VIII | Week 5 | smogtours-gen9ou-808612 | gen9ou | KeshBa54 | KeshBa54 | CTC | DripLegend | CPC
OUPL VIII | Week 5 | smogtours-gen9ou-808597 | gen9ou | Plague | Plague | CTC | Kaif | CPC
OUPL VIII | Week 6 | smogtours-gen9ou-809010 | gen9ou | georgiethefirst | georgiethefirst | PP | Ewin | HH
OUPL VIII | Week 6 | smogtours-gen9ou-809212 | gen9ou | Laroxyl | Laroxyl | RL | Alhen | IDG
OUPL VIII | Week 6 | smogtours-gen9ou-809263 | gen9ou | Kaif | Kaif | CPC | Srn | BB
OUPL VIII | Week 6 | smogtours-gen9ou-809292 | gen9ou | Fc | Fc | IDG | SupaGmoney | RL
OUPL VIII | Week 6 | smogtours-gen9ou-809392 | gen9ou | ACR1 | ACR1 | RL | JJ09LIE | IDG
OUPL VIII | Week 6 | smogtours-gen9ou-809398 | gen9ou | Fusien | Fusien | BB | Foolycl | CPC
OUPL VIII | Week 6 | smogtours-gen9ou-809409 | gen9ou | heileone | heileone | HH | DugZa | PP
OUPL VIII | Week 6 | smogtours-gen9ou-809467 | gen9ou | Roller K | Roller K | BB | Mister McLovin | CPC
OUPL VIII | Week 6 | smogtours-gen9ou-809523 | gen9ou | dunoks | dunoks | PP | awyp | HH
OUPL VIII | Week 6 | smogtours-gen9ou-809582 | gen9ou | Stareal | Stareal | CPC | clean | BB
OUPL VIII | Week 6 | gen9ou-2259175083-1safhl3r9s6v25yb71kivls95tu6wfhpw | gen9ou | Savouras | Savouras | CCS | KeshBa54 |CTC
OUPL VIII | Week 6 | smogtours-gen9ou-809691 | gen9ou | LpZ | LpZ | RL | Mada | IDG
OUPL VIII | Week 6 | smogtours-gen9ou-809733 | gen9ou | Pais | Pais | HH | Hacker | PP
OUPL VIII | Week 6 | smogtours-gen9ou-809722 | gen9ou | Lily | Lily | CCS | Plague | CTC
OUPL VIII | Week 6 | smogtours-gen9ou-809344 | gen9ou | Hiko | Hiko | CCS | 3d | CTC
OUPL VIII | Week 7 | smogtours-gen9ou-810287 | gen9ou | Sylveon used calm mind | Sylveon used calm mind | HH | SupaGmoney | RL
OUPL VIII | Week 7 | smogtours-gen9ou-810309 | gen9ou | Lily | Lily | CCS | RADU | CPC
OUPL VIII | Week 7 | smogtours-gen9ou-810341 | gen9ou | clean | clean | BB | xdRudi.exe | PP
OUPL VIII | Week 7 | smogtours-gen9ou-810435 | gen9ou | Danny | Danny | CTC | Kaneki-san | IDG
OUPL VIII | Week 7 | smogtours-gen9ou-810440 | gen9ou | JJ09LIE | JJ09LIE | IDG | Stories | CTC
OUPL VIII | Week 7 | smogtours-gen9ou-810445 | gen9ou | Pais | Pais | HH | Laroxyl | RL
OUPL VIII | Week 7 | gen9ou-2263405331-cojsl67zoa2kmqsu6a5qw7nb5fpbwhapw | gen9ou | glitched | glitched | CPC | MAVERICK SHOOTERS | CCS
OUPL VIII | Week 7 | gen9ou-2263410812-lcsmjy230i792mgo1c3p5vgo76jf8icpw | gen9ou | Hiko | Hiko | CCS | Mister McLovin | CPC
OUPL VIII | Week 7 | smogtours-gen9ou-810553 | gen9ou | 3d | 3d | CTC | Mada | IDG
OUPL VIII | Week 7 | smogtours-gen9ou-810632 | gen9ou | Fusien | Fusien | BB | dunoks | PP
OUPL VIII | Week 7 | smogtours-gen9ou-810641 | gen9ou | Luirromen | Luirromen | CCS | Stareal | CPC
OUPL VIII | Week 7 | smogtours-gen9ou-810665 | gen9ou | georgiethefirst | georgiethefirst | PP | sufys | BB
OUPL VIII | Week 7 | smogtours-gen9ou-810694 | gen9ou | DugZa | DugZa | PP | Roller K | BB
OUPL VIII | Week 7 | smogtours-gen9ou-810688 | gen9ou | LpZ | LpZ | RL | heileone | HH
OUPL VIII | Week 7 | smogtours-gen9ou-810267 | gen9ou | Ewin | Ewin | HH | ACR1 | RL
OUPL VIII | Week 7 | smogtours-gen9ou-810606 | gen9ou | Plague | Plague | CTC | Fc | IDG
OUPL VIII | Week 7 | smogtours-gen8ou-810034 | gen8ou | watashi | watashi | CPC | Suzuya | CCS
OUPL VIII | Week 7 | smogtours-gen8ou-810132 | gen8ou | Raiyan | Raiyan | CTC | avarice | IDG
OUPL VIII | Week 7 | smogtours-gen8ou-810155 | gen8ou | Fakee | Fakee | BB | Slowpoke Fan | PP
OUPL VIII | Week 7 | smogtours-gen8ou-810169 | gen8ou | Akaru Kokuyo | Akaru Kokuyo | PP | tofa | BB
OUPL VIII | Week 7 | smogtours-gen8ou-810420 | gen8ou | Leavers | Leavers | IDG | emforbes | CTC
OUPL VIII | Week 7 | smogtours-gen8ou-810683 | gen8ou | Ox the Fox | Ox the Fox | HH | ChrisPBacon | RL
OUPL VIII | Week 7 | smogtours-gen8ou-809818 | gen8ou | SpookyZ | SpookyZ | HH | yone | RL
OUPL VIII | Semifinals | smogtours-gen9ou-811032 | gen9ou | Fc | Fc | IDG | Ewin | HH
OUPL VIII | Semifinals | smogtours-gen9ou-811062 | gen9ou | Mada | Mada | IDG | Pais | HH
OUPL VIII | Semifinals | smogtours-gen9ou-811067 | gen9ou | Srn | Srn | BB | Hiko | CCS
OUPL VIII | Semifinals | smogtours-gen9ou-811289 | gen9ou | Drifting | Drifting | CCS | Fusien | BB
OUPL VIII | Semifinals | smogtours-gen9ou-811307 | gen9ou | Sylveon used calm mind | Sylveon used calm mind | HH | JJ09LIE | IDG
OUPL VIII | Semifinals | smogtours-gen9ou-811344 | gen9ou | clean | clean | BB | Lily | CCS
OUPL VIII | Semifinals | smogtours-gen9ou-811389 | gen9ou | Alhen | Alhen | IDG | heileone | HH
OUPL VIII | Semifinals | smogtours-gen9ou-811412 | gen9ou | Dugtrio Is Broken | Dugtrio Is Broken | CCS | RaJ.Shoot | BB
OUPL VIII | Semifinals | smogtours-gen8ou-810914 | gen8ou | SpookyZ | SpookyZ | HH | avarice | IDG
OUPL VIII | Semifinals | smogtours-gen8ou-811128 | gen8ou | tofa | tofa | BB | Savouras | CCS
OUPL VIII | Semifinals | smogtours-gen8ou-811141 | gen8ou | Fakee | Fakee | BB | Hayburner | CCS
OUPL VIII | Semifinals | smogtours-gen8ou-810916 | gen8ou | Ox the Fox | Ox the Fox | HH | Leavers | IDG
OUPL VIII | Finals | smogtours-gen8ou-811747 | gen8ou | tofa | tofa | BB | avarice | IDG
OUPL VIII | Finals | smogtours-gen8ou-811805 | gen8ou | Leavers | Leavers | IDG | Fakee | BB
OUPL VIII | Finals | smogtours-gen9ou-811942 | gen9ou | Roller K | Roller K | BB | JJ09LIE | IDG
OUPL VIII | Finals | smogtours-gen9ou-811972 | gen9ou | Srn | Srn | BB | Fc | IDG
OUPL VIII | Finals | smogtours-gen9ou-812046 | gen9ou | TMTito | TMTito | BB | lolebruh | IDG
OUPL VIII | Finals | smogtours-gen9ou-812049 | gen9ou | Metallica126 | Metallica126 | BB | FFK | IDG
