2020-10-25 17:46:19,180 [main] INFO  [com.mimosa.deeppokemon.PokemoCrawlerApplication] StartupInfoLogger.java:55 - Starting PokemoCrawlerApplication v0.0.1-SNAPSHOT on Yao-PC with PID 6808 (E:\java\study\deep-pokemon\pokemon-crawler\target\pokemon-crawler-0.0.1-SNAPSHOT.jar started by Yao in E:\java\study\deep-pokemon\pokemon-crawler\target)
2020-10-25 17:46:19,202 [main] INFO  [com.mimosa.deeppokemon.PokemoCrawlerApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-10-25 17:46:21,035 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-10-25 17:46:21,097 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 44ms. Found 0 MongoDB repository interfaces.
2020-10-25 17:46:23,235 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:92 - Tomcat initialized with port(s): 8081 (http)
2020-10-25 17:46:23,271 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2020-10-25 17:46:23,272 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-25 17:46:23,277 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - Loaded APR based Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2020-10-25 17:46:23,280 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-10-25 17:46:23,281 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-10-25 17:46:23,290 [main] INFO  [org.apache.catalina.core.AprLifecycleListener] DirectJDKLog.java:173 - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-10-25 17:46:23,573 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2020-10-25 17:46:23,574 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 4190 ms
2020-10-25 17:46:24,860 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-10-25 17:46:24,862 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-10-25 17:46:25,070 [cluster-ClusterId{value='5f954970a3ba7769663a863d', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:72}] to localhost:27017
2020-10-25 17:46:25,091 [cluster-ClusterId{value='5f954970a3ba7769663a863d', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14922310}
2020-10-25 17:46:25,096 [cluster-ClusterId{value='5f954970a3ba7769663a863d', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-10-25 17:46:26,477 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-25 17:46:26,870 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'taskScheduler'
2020-10-25 17:46:27,035 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:204 - Tomcat started on port(s): 8081 (http) with context path ''
2020-10-25 17:46:27,042 [main] INFO  [com.mimosa.deeppokemon.PokemoCrawlerApplication] StartupInfoLogger.java:61 - Started PokemoCrawlerApplication in 9.229 seconds (JVM running for 10.96)
