2020-07-10 11:38:51,086 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest], using SpringBootContextLoader
2020-07-10 11:38:51,123 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 11:38:51,129 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: PlayerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 11:38:51,739 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.pokemon.portal.PokemonPortalApplication for test class com.mimosa.pokemon.portal.service.PlayerServiceTest
2020-07-10 11:38:52,046 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-10 11:38:52,152 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f0cc85, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62e20a76, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2cc44ad, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@44b3606b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1477089c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@663411de, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@63dd899, org.springframework.test.context.event.EventPublishingTestExecutionListener@59d2400d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75cd8043, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@33b1c5c5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b202a3a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@10b9db7b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9ef8eb7]
2020-07-10 11:38:53,667 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] StartupInfoLogger.java:55 - Starting PlayerServiceTest on Yao-PC with PID 6604 (started by Yao in E:\java\study\deep-pokemon\pokemon-portal)
2020-07-10 11:38:53,673 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-10 11:38:55,387 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-10 11:38:55,448 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 41ms. Found 0 MongoDB repository interfaces.
2020-07-10 11:38:57,461 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-10 11:38:57,463 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-10 11:38:57,635 [cluster-ClusterId{value='5f07e2d1f8d43f6f921bddba', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:14}] to localhost:27017
2020-07-10 11:38:57,649 [cluster-ClusterId{value='5f07e2d1f8d43f6f921bddba', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7628073}
2020-07-10 11:38:57,652 [cluster-ClusterId{value='5f07e2d1f8d43f6f921bddba', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-10 11:38:59,763 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-10 11:39:00,784 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] StartupInfoLogger.java:61 - Started PlayerServiceTest in 8.426 seconds (JVM running for 13.006)
2020-07-10 11:39:03,525 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:15}] to localhost:27017
2020-07-10 11:39:03,858 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-10 11:39:03,864 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:15}] to localhost:27017 because the pool has been closed.
2020-07-10 11:46:04,178 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest], using SpringBootContextLoader
2020-07-10 11:46:04,202 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 11:46:04,205 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: PlayerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 11:46:04,809 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.pokemon.portal.PokemonPortalApplication for test class com.mimosa.pokemon.portal.service.PlayerServiceTest
